Area Code (M49);Area;Element;Item;Year;Value
24;Angola;Production;Poultry Meat;2022;59
24;Angola;Import quantity;Poultry Meat;2022;316
24;Angola;Stock Variation;Poultry Meat;2022;0
24;Angola;Export quantity;Poultry Meat;2022;0
24;Angola;Domestic supply quantity;Poultry Meat;2022;374
24;Angola;Residuals;Poultry Meat;2022;0
24;Angola;Food;Poultry Meat;2022;374
24;Angola;Production;Eggs;2022;143
24;Angola;Import quantity;Eggs;2022;2
24;Angola;Stock Variation;Eggs;2022;0
24;Angola;Export quantity;Eggs;2022;0
24;Angola;Domestic supply quantity;Eggs;2022;145
24;Angola;Losses;Eggs;2022;12
24;Angola;Residuals;Eggs;2022;0
24;Angola;Food;Eggs;2022;64
28;Antigua and Barbuda;Production;Poultry Meat;2022;0
28;Antigua and Barbuda;Import quantity;Poultry Meat;2022;7
28;Antigua and Barbuda;Stock Variation;Poultry Meat;2022;0
28;Antigua and Barbuda;Export quantity;Poultry Meat;2022;0
28;Antigua and Barbuda;Domestic supply quantity;Poultry Meat;2022;7
28;Antigua and Barbuda;Tourist consumption;Poultry Meat;2022;1
28;Antigua and Barbuda;Residuals;Poultry Meat;2022;0
28;Antigua and Barbuda;Food;Poultry Meat;2022;6
28;Antigua and Barbuda;Production;Eggs;2022;1
28;Antigua and Barbuda;Import quantity;Eggs;2022;0
28;Antigua and Barbuda;Domestic supply quantity;Eggs;2022;1
28;Antigua and Barbuda;Losses;Eggs;2022;0
28;Antigua and Barbuda;Tourist consumption;Eggs;2022;0
28;Antigua and Barbuda;Residuals;Eggs;2022;0
28;Antigua and Barbuda;Food;Eggs;2022;1
32;Argentina;Production;Poultry Meat;2022;2361
32;Argentina;Import quantity;Poultry Meat;2022;14
32;Argentina;Stock Variation;Poultry Meat;2022;0
32;Argentina;Export quantity;Poultry Meat;2022;182
32;Argentina;Domestic supply quantity;Poultry Meat;2022;2193
32;Argentina;Residuals;Poultry Meat;2022;0
32;Argentina;Food;Poultry Meat;2022;2193
32;Argentina;Production;Eggs;2022;841
32;Argentina;Import quantity;Eggs;2022;0
32;Argentina;Stock Variation;Eggs;2022;0
32;Argentina;Export quantity;Eggs;2022;5
32;Argentina;Domestic supply quantity;Eggs;2022;836
32;Argentina;Losses;Eggs;2022;42
32;Argentina;Residuals;Eggs;2022;-1
32;Argentina;Food;Eggs;2022;721
51;Armenia;Production;Poultry Meat;2022;12
51;Armenia;Import quantity;Poultry Meat;2022;40
51;Armenia;Stock Variation;Poultry Meat;2022;0
51;Armenia;Export quantity;Poultry Meat;2022;0
51;Armenia;Domestic supply quantity;Poultry Meat;2022;52
51;Armenia;Losses;Poultry Meat;2022;0
51;Armenia;Residuals;Poultry Meat;2022;0
51;Armenia;Food;Poultry Meat;2022;51
51;Armenia;Production;Eggs;2022;41
51;Armenia;Import quantity;Eggs;2022;0
51;Armenia;Stock Variation;Eggs;2022;0
51;Armenia;Export quantity;Eggs;2022;0
51;Armenia;Domestic supply quantity;Eggs;2022;42
51;Armenia;Losses;Eggs;2022;1
51;Armenia;Residuals;Eggs;2022;0
51;Armenia;Food;Eggs;2022;40
36;Australia;Production;Poultry Meat;2022;1397
36;Australia;Import quantity;Poultry Meat;2022;4
36;Australia;Stock Variation;Poultry Meat;2022;60
36;Australia;Export quantity;Poultry Meat;2022;56
36;Australia;Domestic supply quantity;Poultry Meat;2022;1285
36;Australia;Residuals;Poultry Meat;2022;0
36;Australia;Food;Poultry Meat;2022;1285
36;Australia;Production;Eggs;2022;226
36;Australia;Import quantity;Eggs;2022;7
36;Australia;Stock Variation;Eggs;2022;0
36;Australia;Export quantity;Eggs;2022;2
36;Australia;Domestic supply quantity;Eggs;2022;230
36;Australia;Losses;Eggs;2022;2
36;Australia;Residuals;Eggs;2022;-1
36;Australia;Food;Eggs;2022;186
40;Austria;Production;Poultry Meat;2022;152
40;Austria;Import quantity;Poultry Meat;2022;121
40;Austria;Stock Variation;Poultry Meat;2022;1
40;Austria;Export quantity;Poultry Meat;2022;82
40;Austria;Domestic supply quantity;Poultry Meat;2022;190
40;Austria;Residuals;Poultry Meat;2022;0
40;Austria;Food;Poultry Meat;2022;171
40;Austria;Production;Eggs;2022;143
40;Austria;Import quantity;Eggs;2022;44
40;Austria;Stock Variation;Eggs;2022;0
40;Austria;Export quantity;Eggs;2022;35
40;Austria;Domestic supply quantity;Eggs;2022;153
40;Austria;Losses;Eggs;2022;12
40;Austria;Residuals;Eggs;2022;-1
40;Austria;Food;Eggs;2022;134
31;Azerbaijan;Production;Poultry Meat;2022;130
31;Azerbaijan;Import quantity;Poultry Meat;2022;38
31;Azerbaijan;Stock Variation;Poultry Meat;2022;0
31;Azerbaijan;Export quantity;Poultry Meat;2022;1
31;Azerbaijan;Domestic supply quantity;Poultry Meat;2022;166
31;Azerbaijan;Residuals;Poultry Meat;2022;0
31;Azerbaijan;Food;Poultry Meat;2022;166
31;Azerbaijan;Production;Eggs;2022;121
31;Azerbaijan;Import quantity;Eggs;2022;1
31;Azerbaijan;Stock Variation;Eggs;2022;0
31;Azerbaijan;Export quantity;Eggs;2022;1
31;Azerbaijan;Domestic supply quantity;Eggs;2022;122
31;Azerbaijan;Losses;Eggs;2022;11
31;Azerbaijan;Residuals;Eggs;2022;0
31;Azerbaijan;Food;Eggs;2022;102
44;Bahamas;Production;Poultry Meat;2022;6
44;Bahamas;Import quantity;Poultry Meat;2022;22
44;Bahamas;Stock Variation;Poultry Meat;2022;0
44;Bahamas;Domestic supply quantity;Poultry Meat;2022;28
44;Bahamas;Tourist consumption;Poultry Meat;2022;2
44;Bahamas;Residuals;Poultry Meat;2022;0
44;Bahamas;Food;Poultry Meat;2022;26
44;Bahamas;Production;Eggs;2022;1
44;Bahamas;Import quantity;Eggs;2022;5
44;Bahamas;Stock Variation;Eggs;2022;0
44;Bahamas;Domestic supply quantity;Eggs;2022;6
44;Bahamas;Losses;Eggs;2022;0
44;Bahamas;Tourist consumption;Eggs;2022;0
44;Bahamas;Residuals;Eggs;2022;0
44;Bahamas;Food;Eggs;2022;5
48;Bahrain;Production;Poultry Meat;2022;9
48;Bahrain;Import quantity;Poultry Meat;2022;63
48;Bahrain;Stock Variation;Poultry Meat;2022;0
48;Bahrain;Export quantity;Poultry Meat;2022;1
48;Bahrain;Domestic supply quantity;Poultry Meat;2022;71
48;Bahrain;Losses;Poultry Meat;2022;2
48;Bahrain;Residuals;Poultry Meat;2022;0
48;Bahrain;Food;Poultry Meat;2022;69
48;Bahrain;Production;Eggs;2022;4
48;Bahrain;Import quantity;Eggs;2022;19
48;Bahrain;Stock Variation;Eggs;2022;0
48;Bahrain;Export quantity;Eggs;2022;0
48;Bahrain;Domestic supply quantity;Eggs;2022;23
48;Bahrain;Losses;Eggs;2022;2
48;Bahrain;Residuals;Eggs;2022;0
48;Bahrain;Food;Eggs;2022;20
50;Bangladesh;Production;Poultry Meat;2022;284
50;Bangladesh;Import quantity;Poultry Meat;2022;0
50;Bangladesh;Stock Variation;Poultry Meat;2022;0
50;Bangladesh;Export quantity;Poultry Meat;2022;0
50;Bangladesh;Domestic supply quantity;Poultry Meat;2022;284
50;Bangladesh;Residuals;Poultry Meat;2022;0
50;Bangladesh;Food;Poultry Meat;2022;284
50;Bangladesh;Production;Eggs;2022;739
50;Bangladesh;Import quantity;Eggs;2022;0
50;Bangladesh;Stock Variation;Eggs;2022;0
50;Bangladesh;Domestic supply quantity;Eggs;2022;740
50;Bangladesh;Losses;Eggs;2022;69
50;Bangladesh;Residuals;Eggs;2022;0
50;Bangladesh;Food;Eggs;2022;613
52;Barbados;Production;Poultry Meat;2022;16
52;Barbados;Import quantity;Poultry Meat;2022;3
52;Barbados;Stock Variation;Poultry Meat;2022;0
52;Barbados;Export quantity;Poultry Meat;2022;0
52;Barbados;Domestic supply quantity;Poultry Meat;2022;19
52;Barbados;Tourist consumption;Poultry Meat;2022;3
52;Barbados;Residuals;Poultry Meat;2022;0
52;Barbados;Food;Poultry Meat;2022;16
52;Barbados;Production;Eggs;2022;3
52;Barbados;Import quantity;Eggs;2022;1
52;Barbados;Stock Variation;Eggs;2022;0
52;Barbados;Domestic supply quantity;Eggs;2022;4
52;Barbados;Losses;Eggs;2022;0
52;Barbados;Tourist consumption;Eggs;2022;0
52;Barbados;Residuals;Eggs;2022;0
52;Barbados;Food;Eggs;2022;3
112;Belarus;Production;Poultry Meat;2022;512
112;Belarus;Import quantity;Poultry Meat;2022;16
112;Belarus;Stock Variation;Poultry Meat;2022;0
112;Belarus;Export quantity;Poultry Meat;2022;192
112;Belarus;Domestic supply quantity;Poultry Meat;2022;336
112;Belarus;Residuals;Poultry Meat;2022;0
112;Belarus;Food;Poultry Meat;2022;335
112;Belarus;Production;Eggs;2022;196
112;Belarus;Import quantity;Eggs;2022;1
112;Belarus;Stock Variation;Eggs;2022;0
112;Belarus;Export quantity;Eggs;2022;39
112;Belarus;Domestic supply quantity;Eggs;2022;158
112;Belarus;Losses;Eggs;2022;18
112;Belarus;Residuals;Eggs;2022;1
112;Belarus;Food;Eggs;2022;123
56;Belgium;Production;Poultry Meat;2022;450
56;Belgium;Import quantity;Poultry Meat;2022;309
56;Belgium;Stock Variation;Poultry Meat;2022;-4
56;Belgium;Export quantity;Poultry Meat;2022;525
56;Belgium;Domestic supply quantity;Poultry Meat;2022;238
56;Belgium;Residuals;Poultry Meat;2022;0
56;Belgium;Food;Poultry Meat;2022;189
56;Belgium;Production;Eggs;2022;140
56;Belgium;Import quantity;Eggs;2022;237
56;Belgium;Stock Variation;Eggs;2022;0
56;Belgium;Export quantity;Eggs;2022;131
56;Belgium;Domestic supply quantity;Eggs;2022;245
56;Belgium;Losses;Eggs;2022;8
56;Belgium;Residuals;Eggs;2022;-1
56;Belgium;Food;Eggs;2022;225
84;Belize;Production;Poultry Meat;2022;21
84;Belize;Import quantity;Poultry Meat;2022;0
84;Belize;Stock Variation;Poultry Meat;2022;0
84;Belize;Domestic supply quantity;Poultry Meat;2022;21
84;Belize;Tourist consumption;Poultry Meat;2022;9
84;Belize;Residuals;Poultry Meat;2022;0
84;Belize;Food;Poultry Meat;2022;12
84;Belize;Production;Eggs;2022;3
84;Belize;Import quantity;Eggs;2022;0
84;Belize;Stock Variation;Eggs;2022;0
84;Belize;Domestic supply quantity;Eggs;2022;3
84;Belize;Losses;Eggs;2022;0
84;Belize;Tourist consumption;Eggs;2022;0
84;Belize;Residuals;Eggs;2022;0
84;Belize;Food;Eggs;2022;2
204;Benin;Production;Poultry Meat;2022;10
204;Benin;Import quantity;Poultry Meat;2022;133
204;Benin;Stock Variation;Poultry Meat;2022;0
204;Benin;Export quantity;Poultry Meat;2022;0
204;Benin;Domestic supply quantity;Poultry Meat;2022;143
204;Benin;Residuals;Poultry Meat;2022;0
204;Benin;Food;Poultry Meat;2022;143
204;Benin;Production;Eggs;2022;18
204;Benin;Import quantity;Eggs;2022;0
204;Benin;Stock Variation;Eggs;2022;0
204;Benin;Export quantity;Eggs;2022;0
204;Benin;Domestic supply quantity;Eggs;2022;17
204;Benin;Losses;Eggs;2022;2
204;Benin;Residuals;Eggs;2022;0
204;Benin;Food;Eggs;2022;13
64;Bhutan;Production;Poultry Meat;2022;1
64;Bhutan;Import quantity;Poultry Meat;2022;3
64;Bhutan;Stock Variation;Poultry Meat;2022;0
64;Bhutan;Export quantity;Poultry Meat;2022;0
64;Bhutan;Domestic supply quantity;Poultry Meat;2022;4
64;Bhutan;Residuals;Poultry Meat;2022;0
64;Bhutan;Food;Poultry Meat;2022;4
64;Bhutan;Production;Eggs;2022;4
64;Bhutan;Import quantity;Eggs;2022;0
64;Bhutan;Domestic supply quantity;Eggs;2022;4
64;Bhutan;Losses;Eggs;2022;0
64;Bhutan;Residuals;Eggs;2022;0
64;Bhutan;Food;Eggs;2022;4
68;Bolivia (Plurinational State of);Production;Poultry Meat;2022;516
68;Bolivia (Plurinational State of);Import quantity;Poultry Meat;2022;3
68;Bolivia (Plurinational State of);Stock Variation;Poultry Meat;2022;0
68;Bolivia (Plurinational State of);Export quantity;Poultry Meat;2022;0
68;Bolivia (Plurinational State of);Domestic supply quantity;Poultry Meat;2022;519
68;Bolivia (Plurinational State of);Residuals;Poultry Meat;2022;0
68;Bolivia (Plurinational State of);Food;Poultry Meat;2022;519
68;Bolivia (Plurinational State of);Production;Eggs;2022;109
68;Bolivia (Plurinational State of);Import quantity;Eggs;2022;0
68;Bolivia (Plurinational State of);Stock Variation;Eggs;2022;0
68;Bolivia (Plurinational State of);Export quantity;Eggs;2022;0
68;Bolivia (Plurinational State of);Domestic supply quantity;Eggs;2022;109
68;Bolivia (Plurinational State of);Losses;Eggs;2022;10
68;Bolivia (Plurinational State of);Residuals;Eggs;2022;0
68;Bolivia (Plurinational State of);Food;Eggs;2022;81
70;Bosnia and Herzegovina;Production;Poultry Meat;2022;69
70;Bosnia and Herzegovina;Import quantity;Poultry Meat;2022;15
70;Bosnia and Herzegovina;Stock Variation;Poultry Meat;2022;0
70;Bosnia and Herzegovina;Export quantity;Poultry Meat;2022;14
70;Bosnia and Herzegovina;Domestic supply quantity;Poultry Meat;2022;71
70;Bosnia and Herzegovina;Residuals;Poultry Meat;2022;0
70;Bosnia and Herzegovina;Food;Poultry Meat;2022;71
70;Bosnia and Herzegovina;Production;Eggs;2022;23
70;Bosnia and Herzegovina;Import quantity;Eggs;2022;2
70;Bosnia and Herzegovina;Stock Variation;Eggs;2022;0
70;Bosnia and Herzegovina;Export quantity;Eggs;2022;2
70;Bosnia and Herzegovina;Domestic supply quantity;Eggs;2022;23
70;Bosnia and Herzegovina;Losses;Eggs;2022;2
70;Bosnia and Herzegovina;Residuals;Eggs;2022;0
70;Bosnia and Herzegovina;Food;Eggs;2022;19
72;Botswana;Production;Poultry Meat;2022;1
72;Botswana;Import quantity;Poultry Meat;2022;5
72;Botswana;Stock Variation;Poultry Meat;2022;0
72;Botswana;Export quantity;Poultry Meat;2022;0
72;Botswana;Domestic supply quantity;Poultry Meat;2022;7
72;Botswana;Tourist consumption;Poultry Meat;2022;0
72;Botswana;Residuals;Poultry Meat;2022;0
72;Botswana;Food;Poultry Meat;2022;7
72;Botswana;Production;Eggs;2022;4
72;Botswana;Import quantity;Eggs;2022;1
72;Botswana;Stock Variation;Eggs;2022;0
72;Botswana;Export quantity;Eggs;2022;0
72;Botswana;Domestic supply quantity;Eggs;2022;4
72;Botswana;Losses;Eggs;2022;0
72;Botswana;Tourist consumption;Eggs;2022;0
72;Botswana;Residuals;Eggs;2022;0
72;Botswana;Food;Eggs;2022;4
76;Brazil;Production;Poultry Meat;2022;14691
76;Brazil;Import quantity;Poultry Meat;2022;5
76;Brazil;Stock Variation;Poultry Meat;2022;8
76;Brazil;Export quantity;Poultry Meat;2022;4554
76;Brazil;Domestic supply quantity;Poultry Meat;2022;10134
76;Brazil;Residuals;Poultry Meat;2022;0
76;Brazil;Food;Poultry Meat;2022;10131
76;Brazil;Production;Eggs;2022;3480
76;Brazil;Import quantity;Eggs;2022;0
76;Brazil;Stock Variation;Eggs;2022;9
76;Brazil;Export quantity;Eggs;2022;28
76;Brazil;Domestic supply quantity;Eggs;2022;3444
76;Brazil;Losses;Eggs;2022;104
76;Brazil;Residuals;Eggs;2022;-1
76;Brazil;Food;Eggs;2022;2746
100;Bulgaria;Production;Poultry Meat;2022;113
100;Bulgaria;Import quantity;Poultry Meat;2022;90
100;Bulgaria;Stock Variation;Poultry Meat;2022;17
100;Bulgaria;Export quantity;Poultry Meat;2022;44
100;Bulgaria;Domestic supply quantity;Poultry Meat;2022;143
100;Bulgaria;Residuals;Poultry Meat;2022;0
100;Bulgaria;Food;Poultry Meat;2022;142
100;Bulgaria;Production;Eggs;2022;63
100;Bulgaria;Import quantity;Eggs;2022;10
100;Bulgaria;Stock Variation;Eggs;2022;0
100;Bulgaria;Export quantity;Eggs;2022;30
100;Bulgaria;Domestic supply quantity;Eggs;2022;43
100;Bulgaria;Losses;Eggs;2022;6
100;Bulgaria;Residuals;Eggs;2022;-2
100;Bulgaria;Food;Eggs;2022;35
854;Burkina Faso;Production;Poultry Meat;2022;151
854;Burkina Faso;Import quantity;Poultry Meat;2022;0
854;Burkina Faso;Stock Variation;Poultry Meat;2022;0
854;Burkina Faso;Domestic supply quantity;Poultry Meat;2022;151
854;Burkina Faso;Residuals;Poultry Meat;2022;0
854;Burkina Faso;Food;Poultry Meat;2022;151
854;Burkina Faso;Production;Eggs;2022;68
854;Burkina Faso;Import quantity;Eggs;2022;0
854;Burkina Faso;Stock Variation;Eggs;2022;0
854;Burkina Faso;Domestic supply quantity;Eggs;2022;68
854;Burkina Faso;Losses;Eggs;2022;13
854;Burkina Faso;Residuals;Eggs;2022;0
854;Burkina Faso;Food;Eggs;2022;24
108;Burundi;Production;Poultry Meat;2022;8
108;Burundi;Import quantity;Poultry Meat;2022;0
108;Burundi;Stock Variation;Poultry Meat;2022;0
108;Burundi;Domestic supply quantity;Poultry Meat;2022;8
108;Burundi;Residuals;Poultry Meat;2022;0
108;Burundi;Food;Poultry Meat;2022;8
108;Burundi;Production;Eggs;2022;2
108;Burundi;Import quantity;Eggs;2022;0
108;Burundi;Export quantity;Eggs;2022;0
108;Burundi;Domestic supply quantity;Eggs;2022;2
108;Burundi;Losses;Eggs;2022;0
108;Burundi;Residuals;Eggs;2022;0
108;Burundi;Food;Eggs;2022;2
132;Cabo Verde;Production;Poultry Meat;2022;0
132;Cabo Verde;Import quantity;Poultry Meat;2022;13
132;Cabo Verde;Stock Variation;Poultry Meat;2022;0
132;Cabo Verde;Domestic supply quantity;Poultry Meat;2022;14
132;Cabo Verde;Tourist consumption;Poultry Meat;2022;0
132;Cabo Verde;Residuals;Poultry Meat;2022;0
132;Cabo Verde;Food;Poultry Meat;2022;14
132;Cabo Verde;Production;Eggs;2022;3
132;Cabo Verde;Import quantity;Eggs;2022;1
132;Cabo Verde;Stock Variation;Eggs;2022;0
132;Cabo Verde;Domestic supply quantity;Eggs;2022;3
132;Cabo Verde;Losses;Eggs;2022;0
132;Cabo Verde;Tourist consumption;Eggs;2022;0
132;Cabo Verde;Residuals;Eggs;2022;0
132;Cabo Verde;Food;Eggs;2022;3
116;Cambodia;Production;Poultry Meat;2022;26
116;Cambodia;Import quantity;Poultry Meat;2022;7
116;Cambodia;Stock Variation;Poultry Meat;2022;2
116;Cambodia;Domestic supply quantity;Poultry Meat;2022;31
116;Cambodia;Tourist consumption;Poultry Meat;2022;0
116;Cambodia;Residuals;Poultry Meat;2022;0
116;Cambodia;Food;Poultry Meat;2022;31
116;Cambodia;Production;Eggs;2022;23
116;Cambodia;Import quantity;Eggs;2022;0
116;Cambodia;Stock Variation;Eggs;2022;0
116;Cambodia;Domestic supply quantity;Eggs;2022;23
116;Cambodia;Losses;Eggs;2022;3
116;Cambodia;Tourist consumption;Eggs;2022;0
116;Cambodia;Residuals;Eggs;2022;0
116;Cambodia;Food;Eggs;2022;19
120;Cameroon;Production;Poultry Meat;2022;123
120;Cameroon;Import quantity;Poultry Meat;2022;2
120;Cameroon;Stock Variation;Poultry Meat;2022;0
120;Cameroon;Export quantity;Poultry Meat;2022;1
120;Cameroon;Domestic supply quantity;Poultry Meat;2022;124
120;Cameroon;Residuals;Poultry Meat;2022;0
120;Cameroon;Food;Poultry Meat;2022;124
120;Cameroon;Production;Eggs;2022;88
120;Cameroon;Import quantity;Eggs;2022;0
120;Cameroon;Stock Variation;Eggs;2022;0
120;Cameroon;Export quantity;Eggs;2022;2
120;Cameroon;Domestic supply quantity;Eggs;2022;87
120;Cameroon;Losses;Eggs;2022;8
120;Cameroon;Residuals;Eggs;2022;0
120;Cameroon;Food;Eggs;2022;47
124;Canada;Production;Poultry Meat;2022;1531
124;Canada;Import quantity;Poultry Meat;2022;206
124;Canada;Stock Variation;Poultry Meat;2022;2
124;Canada;Export quantity;Poultry Meat;2022;151
124;Canada;Domestic supply quantity;Poultry Meat;2022;1583
124;Canada;Residuals;Poultry Meat;2022;0
124;Canada;Food;Poultry Meat;2022;1583
124;Canada;Production;Eggs;2022;624
124;Canada;Import quantity;Eggs;2022;56
124;Canada;Stock Variation;Eggs;2022;0
124;Canada;Export quantity;Eggs;2022;10
124;Canada;Domestic supply quantity;Eggs;2022;670
124;Canada;Losses;Eggs;2022;12
124;Canada;Residuals;Eggs;2022;-3
124;Canada;Food;Eggs;2022;605
140;Central African Republic;Production;Poultry Meat;2022;7
140;Central African Republic;Import quantity;Poultry Meat;2022;7
140;Central African Republic;Stock Variation;Poultry Meat;2022;0
140;Central African Republic;Export quantity;Poultry Meat;2022;0
140;Central African Republic;Domestic supply quantity;Poultry Meat;2022;13
140;Central African Republic;Residuals;Poultry Meat;2022;0
140;Central African Republic;Food;Poultry Meat;2022;13
140;Central African Republic;Production;Eggs;2022;2
140;Central African Republic;Import quantity;Eggs;2022;2
140;Central African Republic;Stock Variation;Eggs;2022;0
140;Central African Republic;Domestic supply quantity;Eggs;2022;4
140;Central African Republic;Losses;Eggs;2022;0
140;Central African Republic;Residuals;Eggs;2022;0
140;Central African Republic;Food;Eggs;2022;4
148;Chad;Production;Poultry Meat;2022;7
148;Chad;Import quantity;Poultry Meat;2022;3
148;Chad;Stock Variation;Poultry Meat;2022;0
148;Chad;Domestic supply quantity;Poultry Meat;2022;9
148;Chad;Losses;Poultry Meat;2022;1
148;Chad;Residuals;Poultry Meat;2022;0
148;Chad;Food;Poultry Meat;2022;8
148;Chad;Production;Eggs;2022;4
148;Chad;Import quantity;Eggs;2022;0
148;Chad;Domestic supply quantity;Eggs;2022;4
148;Chad;Losses;Eggs;2022;0
148;Chad;Residuals;Eggs;2022;0
148;Chad;Food;Eggs;2022;4
152;Chile;Production;Poultry Meat;2022;769
152;Chile;Import quantity;Poultry Meat;2022;174
152;Chile;Stock Variation;Poultry Meat;2022;0
152;Chile;Export quantity;Poultry Meat;2022;188
152;Chile;Domestic supply quantity;Poultry Meat;2022;755
152;Chile;Residuals;Poultry Meat;2022;0
152;Chile;Food;Poultry Meat;2022;755
152;Chile;Production;Eggs;2022;220
152;Chile;Import quantity;Eggs;2022;16
152;Chile;Stock Variation;Eggs;2022;0
152;Chile;Export quantity;Eggs;2022;0
152;Chile;Domestic supply quantity;Eggs;2022;236
152;Chile;Losses;Eggs;2022;20
152;Chile;Residuals;Eggs;2022;0
152;Chile;Food;Eggs;2022;191
159;China;Production;Poultry Meat;2022;24194
159;China;Import quantity;Poultry Meat;2022;1871
159;China;Stock Variation;Poultry Meat;2022;-57
159;China;Export quantity;Poultry Meat;2022;759
159;China;Domestic supply quantity;Poultry Meat;2022;25364
159;China;Tourist consumption;Poultry Meat;2022;18
159;China;Residuals;Poultry Meat;2022;-440
159;China;Food;Poultry Meat;2022;25786
159;China;Production;Eggs;2022;34326
159;China;Import quantity;Eggs;2022;207
159;China;Stock Variation;Eggs;2022;-3
159;China;Export quantity;Eggs;2022;152
159;China;Domestic supply quantity;Eggs;2022;34384
159;China;Losses;Eggs;2022;1830
159;China;Tourist consumption;Eggs;2022;4
159;China;Residuals;Eggs;2022;-8
159;China;Food;Eggs;2022;31669
344;China, Hong Kong SAR;Production;Poultry Meat;2022;21
344;China, Hong Kong SAR;Import quantity;Poultry Meat;2022;305
344;China, Hong Kong SAR;Stock Variation;Poultry Meat;2022;-70
344;China, Hong Kong SAR;Export quantity;Poultry Meat;2022;39
344;China, Hong Kong SAR;Domestic supply quantity;Poultry Meat;2022;356
344;China, Hong Kong SAR;Tourist consumption;Poultry Meat;2022;18
344;China, Hong Kong SAR;Residuals;Poultry Meat;2022;0
344;China, Hong Kong SAR;Food;Poultry Meat;2022;338
344;China, Hong Kong SAR;Production;Eggs;2022;0
344;China, Hong Kong SAR;Import quantity;Eggs;2022;186
344;China, Hong Kong SAR;Stock Variation;Eggs;2022;0
344;China, Hong Kong SAR;Export quantity;Eggs;2022;2
344;China, Hong Kong SAR;Domestic supply quantity;Eggs;2022;184
344;China, Hong Kong SAR;Losses;Eggs;2022;0
344;China, Hong Kong SAR;Tourist consumption;Eggs;2022;4
344;China, Hong Kong SAR;Residuals;Eggs;2022;0
344;China, Hong Kong SAR;Food;Eggs;2022;180
446;China, Macao SAR;Production;Poultry Meat;2022;3
446;China, Macao SAR;Import quantity;Poultry Meat;2022;32
446;China, Macao SAR;Stock Variation;Poultry Meat;2022;0
446;China, Macao SAR;Domestic supply quantity;Poultry Meat;2022;34
446;China, Macao SAR;Residuals;Poultry Meat;2022;0
446;China, Macao SAR;Food;Poultry Meat;2022;34
446;China, Macao SAR;Production;Eggs;2022;0
446;China, Macao SAR;Import quantity;Eggs;2022;15
446;China, Macao SAR;Domestic supply quantity;Eggs;2022;15
446;China, Macao SAR;Losses;Eggs;2022;0
446;China, Macao SAR;Tourist consumption;Eggs;2022;1
446;China, Macao SAR;Residuals;Eggs;2022;0
446;China, Macao SAR;Food;Eggs;2022;14
156;China, mainland;Production;Poultry Meat;2022;23400
156;China, mainland;Import quantity;Poultry Meat;2022;1316
156;China, mainland;Stock Variation;Poultry Meat;2022;2
156;China, mainland;Export quantity;Poultry Meat;2022;719
156;China, mainland;Domestic supply quantity;Poultry Meat;2022;23996
156;China, mainland;Residuals;Poultry Meat;2022;-440
156;China, mainland;Food;Poultry Meat;2022;24436
156;China, mainland;Production;Eggs;2022;33873
156;China, mainland;Import quantity;Eggs;2022;0
156;China, mainland;Stock Variation;Eggs;2022;-3
156;China, mainland;Export quantity;Eggs;2022;147
156;China, mainland;Domestic supply quantity;Eggs;2022;33729
156;China, mainland;Losses;Eggs;2022;1789
156;China, mainland;Residuals;Eggs;2022;-8
156;China, mainland;Food;Eggs;2022;31092
158;China, Taiwan Province of;Production;Poultry Meat;2022;770
