Area,PIB par habitant,Taux d'urbanisation,Taux de chômage,Taux d'inflation,Part des énergies renouvelables,Taux de mortalité infantile,Taux d'électrification,Production_Viande de Volailles,Importations - Quantité_Viande de Volailles,Variation de stock_Viande de Volailles,Disponibilité intérieure_Viande de Volailles,Résidus_Viande de Volailles,Nourriture_Viande de Volailles,Disponibilité alimentaire en quantité (kg/personne/an)_Viande de Volailles,Disponibilité alimentaire (Kcal/personne/jour)_Viande de Volailles,Disponibilité de protéines en quantité (g/personne/jour)_Viande de Volailles,Disponibilité de matière grasse en quantité (g/personne/jour)_Viande de Volailles,Exportations - Quantité_Viande de Volailles,Internet,total_population
eswatini,3824.04678338499,23.625,24.83,6.22137528933118,65.3,48.2,73.5,6.0,2.0,0.0,7.0,0.0,7.0,6.46,22.0,2.23,1.37,0.0,35.3,576257.4025
fiji,5825.19966886254,55.742,4.328,3.3475783475784,28.6,19.5,96.0,23.0,3.0,1.0,26.0,0.0,25.0,28.02,97.0,9.44,6.26,0.0,65.78,459948.2295
finland,46412.1364777169,85.325,8.64,0.754015047084346,44.4,1.9,100.0,129.0,16.0,22.0,111.0,0.0,103.0,18.76,68.0,7.87,3.76,12.0,87.46892907,2756862.6855
france,38781.0494870836,80.18,9.41,1.03228275064662,14.1,3.3,100.0,1750.0,506.0,183.0,1573.0,-2.0,1485.0,22.9,92.0,8.95,6.03,501.0,80.50245972,33491431.2545
gabon,6975.69519191402,88.976,20.351,2.65192583143902,90.2,33.4,86.3,4.0,76.0,2.0,78.0,0.0,61.0,29.33,99.0,10.59,5.98,0.0,50.32012015,1071139.9115
georgia,4418.75206546679,58.231,13.939,6.03531725272117,27.5,8.9,100.0,22.0,51.0,6.0,61.0,0.0,61.0,15.27,51.0,5.19,3.21,5.0,59.7055046,1866006.358
germany,44652.5891722719,77.261,3.746,1.50949485109628,15.2,3.2,100.0,1514.0,842.0,-29.0,1739.0,-38.0,1609.0,19.47,71.0,7.96,4.16,646.0,84.3941537,41369830.2045
ghana,1998.72279840363,55.407,3.369,12.3719215507048,45.3,36.6,79.0,60.0,151.0,0.0,211.0,0.0,211.0,7.24,16.0,2.26,0.73,0.0,37.88415262,15125691.7325
greece,18582.0893411631,78.724,21.414,1.12125452031419,16.4,3.6,100.0,246.0,79.0,118.0,178.0,0.0,162.0,15.32,53.0,6.32,2.89,29.0,69.89297065,5382624.225
guatemala,4454.02450948165,50.68,2.462,4.42453655182546,65.0,22.2,93.3,235.0,129.0,0.0,357.0,-3.0,348.0,20.58,71.0,6.11,4.95,7.0,37.9,8052166.485
guyana,6220.97856820609,26.538,13.813,1.90465615515584,22.1,25.9,90.0,31.0,0.0,-1.0,32.0,0.0,30.0,38.34,165.0,12.33,12.55,0.0,37.32583679,382013.611
honduras,2403.30608839303,56.457,5.528,3.93436084442044,45.6,16.3,86.5,193.0,12.0,-1.0,205.0,0.0,205.0,21.73,93.0,6.98,7.11,1.0,31.73579247,4818135.5065
hungary,14621.2395956755,71.062,4.156,2.34824281150154,14.6,3.8,100.0,493.0,58.0,74.0,266.0,-13.0,246.0,25.27,104.0,9.8,6.93,210.0,76.75054712,4898847.9115
iceland,72010.1490316258,93.773,2.742,1.76041559180596,80.8,2.1,100.0,10.0,2.0,1.0,10.0,0.0,10.0,29.95,104.0,12.33,5.7,0.0,98.25520119,171867.1965
india,1957.96981331058,33.6,7.723,3.32817337461298,32.5,32.9,91.8,3545.0,0.0,-119.0,3661.0,0.0,2965.0,2.22,7.0,0.75,0.47,4.0,18.2,677767178.3925
iraq,4725.19357334032,70.278,13.02,0.18405889884769,0.5,23.2,99.9,96.0,470.0,0.0,566.0,0.0,561.0,14.95,52.0,5.37,3.23,0.0,26.0,19829357.3905
ireland,70150.7370157965,62.947,6.713,0.362173038229378,10.1,3.0,100.0,110.0,99.0,-12.0,128.0,-11.0,123.0,25.82,100.0,11.6,5.66,93.0,84.11400706,2406070.6395
israel,41114.7817082553,92.336,4.14,0.25941497450575,3.9,3.0,100.0,629.0,0.0,-10.0,636.0,0.0,556.0,67.39,234.0,27.87,12.83,3.0,81.58118359,4360771.924
italy,32406.7203150134,70.144,11.211,1.22653316645812,16.4,2.8,100.0,1315.0,97.0,56.0,1173.0,0.0,1146.0,18.88,65.0,7.83,3.48,183.0,63.077347,30298691.3505
jamaica,5273.1490130852,55.378,7.399,4.37839864991561,11.0,16.0,97.4,128.0,31.0,7.0,152.0,0.0,149.0,51.1,178.0,15.71,12.18,1.0,55.07206705,1405648.424
japan,38834.0529341227,91.535,2.822,0.484199796126385,6.9,1.9,100.0,2215.0,1069.0,859.0,2415.0,0.0,2359.0,18.5,67.0,7.24,3.95,10.0,91.72654724,63549751.3625
jordan,4073.11640314668,90.747,18.12,3.32389447576097,5.3,14.2,100.0,210.0,64.0,-10.0,275.0,0.0,275.0,28.07,98.0,10.1,6.04,10.0,64.5,5112583.4215
kazakhstan,9247.58067886159,57.336,4.9,7.44266321306792,2.0,9.4,100.0,171.0,174.0,8.0,331.0,-2.0,330.0,18.27,61.0,6.18,3.86,6.0,76.42674823,9027928.0095
kenya,1675.98842173012,26.562,3.54,8.00564967709945,68.1,33.4,55.8,35.0,0.0,0.0,35.0,0.0,34.0,0.67,2.0,0.23,0.14,0.0,17.82710021,24499179.071
kuwait,29258.266295535,100.0,2.223,2.17183298510006,0.0,7.6,100.0,56.0,137.0,0.0,189.0,0.0,188.0,46.25,156.0,15.87,9.79,4.0,97.99998933,2064480.0495
lebanon,8679.89742212366,88.429,10.236,4.32135218303191,4.0,11.6,99.9,64.0,13.0,0.0,73.0,0.0,73.0,10.74,38.0,3.9,2.33,4.0,78.18077489,3058035.6865
lesotho,1062.71243340258,27.73,16.391,4.447699373763,41.5,62.4,33.7,2.0,15.0,1.0,17.0,0.0,17.0,7.93,27.0,2.72,1.71,0.0,39.0,1086354.267
liberia,706.892691974846,50.697,3.066,12.4196323907137,93.6,62.0,24.2,15.0,48.0,12.0,50.0,0.0,50.0,10.67,36.0,3.74,2.25,0.0,16.3,2400666.613
lithuania,16885.4073948373,67.516,7.073,3.72288862303707,33.8,3.5,100.0,118.0,44.0,12.0,82.0,0.0,80.0,28.19,96.0,9.74,6.03,68.0,77.61525651,1415624.207
luxembourg,110193.213797228,90.727,5.522,1.73079959118887,15.3,2.2,100.0,0.0,11.0,0.0,11.0,0.0,11.0,18.33,69.0,7.19,4.28,1.0,97.36296032,298463.955
malaysia,9979.70447282371,75.447,3.41,3.87120115774237,5.2,7.0,100.0,1724.0,68.0,128.0,1621.0,-1.0,1220.0,39.21,142.0,12.95,9.65,44.0,80.14047901,16003455.323
malta,28813.1853396512,94.546,4.008,1.36435448150708,7.3,5.6,100.0,4.0,9.0,-1.0,14.0,0.0,12.0,27.17,103.0,12.68,5.41,0.0,81.01191108,234218.4665
morocco,3288.50268554688,61.908,9.229,0.754663249323619,10.4,18.2,100.0,762.0,3.0,17.0,746.0,0.0,746.0,20.96,70.0,7.29,4.35,1.0,61.76221201,17781848.1275
myanmar,1263.24605485191,30.322,1.356,4.5725365531752,59.5,37.9,69.8,1662.0,3.0,-1.0,1666.0,0.0,1621.0,30.37,116.0,9.93,8.11,0.0,23.62108195,26170861.7615
namibia,5453.57062341501,49.005,21.739,6.14579981111164,30.2,31.7,52.5,11.0,29.0,0.0,28.0,0.0,28.0,11.53,40.0,4.25,2.38,12.0,36.83740647,1183468.3165
netherlands,48675.2223350213,91.077,4.839,1.38145871407206,6.4,3.5,100.0,1100.0,608.0,-82.0,372.0,-78.0,346.0,20.33,70.0,8.48,3.74,1418.0,93.19727891,8574158.6735
new zealand,42913.186956185,86.466,4.736,1.85078767452536,28.4,4.3,100.0,223.0,1.0,32.0,168.0,-6.0,164.0,34.79,140.0,12.02,9.77,23.0,87.7,2409151.017
nicaragua,2127.28572022576,58.299,3.3,3.85067166284727,48.9,15.4,84.6,143.0,6.0,11.0,138.0,0.0,138.0,21.59,93.0,6.91,7.08,0.0,30.4,3243458.423
niger,514.543398016347,16.35,0.564,2.79637318871275,82.0,62.7,17.6,19.0,3.0,0.0,21.0,0.0,20.0,0.94,3.0,0.32,0.2,0.0,10.22431156,10879762.191
nigeria,1941.87947889475,49.519,4.826,16.5022662139641,81.6,77.0,54.4,201.0,0.0,0.0,202.0,0.0,192.0,1.01,2.0,0.31,0.1,0.0,33.2,96843390.122
norway,76131.8384032764,81.871,4.162,1.87510059552554,58.9,2.1,100.0,101.0,2.0,1.0,102.0,0.0,101.0,19.05,66.0,7.81,3.61,0.0,96.3576013,2641132.163
oman,17802.5751178049,83.56,2.524,1.58909413567799,0.0,9.5,100.0,7.0,126.0,2.0,114.0,0.0,101.0,21.63,73.0,7.38,4.58,16.0,80.18563573,2273259.964
pakistan,1567.6406123353,36.442,3.193,4.08537368032608,42.1,58.9,92.7,1281.0,2.0,-3.0,1282.0,0.0,1218.0,5.86,20.0,1.97,1.25,4.0,13.78,108293780.6045
panama,15185.9724813803,67.365,5.395,0.875585918759878,23.6,14.5,93.7,198.0,20.0,25.0,192.0,0.0,139.0,33.82,117.0,10.34,8.02,0.0,59.9506309,2050084.8845
paraguay,6136.0583014952,61.3,6.138,3.60247741348943,60.1,17.7,99.3,45.0,1.0,0.0,41.0,0.0,41.0,5.99,22.0,1.8,1.61,4.0,61.07575622,3181135.5305
philippines,3077.43441889625,46.682,2.552,2.85318772590947,27.8,22.1,93.0,1272.0,249.0,-3.0,1521.0,0.0,1459.0,13.87,48.0,4.65,3.11,2.0,41.6,53421836.9625
poland,13815.501164767,60.105,4.888,2.0759355367385,11.1,4.0,100.0,2351.0,55.0,225.0,1156.0,-59.0,1150.0,30.3,107.0,12.14,6.18,1025.0,75.98536595,19006389.59
portugal,21490.429863104,64.652,8.869,1.36861411643472,24.4,2.9,100.0,361.0,82.0,74.0,325.0,0.0,315.0,30.58,109.0,12.74,6.02,44.0,73.79121395,5155294.2635
romania,10727.9708633184,53.936,4.927,1.3390212110439,23.4,6.5,100.0,392.0,146.0,88.0,381.0,0.0,381.0,19.37,66.0,7.91,3.65,69.0,63.74728218,9804184.4845
russia,10658.9130859375,74.292,5.212,3.68332944412253,3.2,5.5,100.0,4444.0,226.0,-1.0,4556.0,-7.0,4509.0,30.98,104.0,10.44,6.55,115.0,76.00813853,72719395.041
samoa,4261.64034322214,18.452,9.4,1.74989677484705,35.8,15.6,96.8,0.0,17.0,2.0,15.0,0.0,13.0,64.77,217.0,21.88,13.68,0.0,39.4,103912.676
saudi arabia,20910.4821334146,83.622,5.89,-0.838194579675018,0.0,6.9,100.0,616.0,722.0,-108.0,1435.0,0.0,1435.0,43.36,151.0,15.57,9.38,10.0,94.17559961,17113111.5895
senegal,1385.1992136057,46.74,4.078,1.3181531484778,36.8,33.0,61.7,77.0,0.0,0.0,77.0,0.0,73.0,4.76,16.0,1.61,1.0,0.0,29.64312367,7586606.1775
serbia,6292.5465490011,55.942,13.477,3.13106248590115,20.0,5.1,100.0,85.0,12.0,0.0,90.0,0.0,90.0,10.16,35.0,3.5,2.24,7.0,70.33083553,3514843.814
sierra leone,484.456128767591,41.636,3.848,18.2215094003386,74.6,87.4,23.4,17.0,14.0,0.0,30.0,0.0,30.0,3.97,10.0,1.24,0.52,0.0,13.23693043,3842526.7115
slovenia,23514.0254604147,54.273,6.573,1.42910743319306,19.7,2.0,100.0,72.0,20.0,11.0,52.0,0.0,51.0,24.41,83.0,8.72,5.05,29.0,78.88542636,1034232.197
south africa,6734.47515312493,65.85,23.992,5.18424664766128,7.9,28.9,84.4,1667.0,514.0,0.0,2118.0,0.0,2035.0,35.69,143.0,14.11,9.25,63.0,56.16739447,28349109.378
spain,28185.3213671969,80.08,17.224,1.95607633363963,15.2,2.7,100.0,1515.0,205.0,11.0,1497.0,0.0,1418.0,30.39,105.0,12.47,5.72,212.0,84.6022457,23319941.714
sri lanka,4388.20190593728,18.384,4.046,7.70413767850602,45.8,6.8,97.5,192.0,0.0,-1.0,192.0,0.0,164.0,7.78,26.0,2.64,1.64,2.0,32.25,10763970.516
suriname,6112.88301430134,66.041,7.883,21.9969430173304,15.5,17.3,96.6,10.0,18.0,-2.0,25.0,0.0,18.0,31.06,112.0,9.27,7.97,5.0,48.94517397,294064.748
sweden,53791.5087298403,87.146,6.718,1.79449904665589,51.8,2.3,100.0,157.0,84.0,31.0,187.0,-37.0,164.0,16.6,61.0,7.09,3.39,23.0,93.00626697,5033801.448
switzerland,82254.3769269767,73.761,4.797,0.533787839825897,25.0,3.6,100.0,91.0,51.0,5.0,133.0,0.0,133.0,15.72,55.0,6.49,3.07,4.0,89.68614767,4230147.902
thailand,6436.78965986703,49.2,0.83,0.665631893135106,22.2,8.3,99.9,1676.0,2.0,1.0,881.0,-48.0,896.0,12.95,47.0,4.35,3.19,796.0,52.89192934,35483705.905
togo,813.394787167149,41.162,3.744,-0.981889868943119,78.4,48.1,48.0,40.0,16.0,1.0,54.0,0.0,54.0,7.06,24.0,2.39,1.49,0.0,12.36022497,3930246.737
trinidad and tobago,16258.7489291438,53.205,3.385,1.88038440183532,0.4,16.2,100.0,61.0,23.0,8.0,76.0,0.0,75.0,54.54,189.0,16.63,13.05,0.0,70.6,739995.5295
tunisia,3569.71883883673,68.642,15.33,5.30884839565844,11.8,14.0,100.0,213.0,0.0,15.0,195.0,0.0,195.0,17.03,57.0,6.28,3.39,4.0,55.50015506,5911438.2215
turkey,10695.550196231,74.644,10.919,11.1443110840765,11.4,10.4,100.0,2192.0,3.0,92.0,1674.0,0.0,1674.0,20.64,71.0,6.99,4.5,429.0,64.68461768,40196907.225
uganda,766.177604015442,23.196,3.643,5.20971705914209,91.3,35.9,32.4,65.0,0.0,0.0,66.0,0.0,62.0,1.52,5.0,0.51,0.32,0.0,5.9,20084125.794
ukraine,2638.32543945313,69.246,9.5,14.4383227488749,6.5,7.6,100.0,1211.0,121.0,49.0,1009.0,0.0,1006.0,22.62,78.0,7.58,5.11,273.0,58.88947945,22462622.8545
united arab emirates,43063.9674785596,86.248,2.462,1.9668255781886,0.2,5.6,100.0,48.0,433.0,-26.0,412.0,0.0,412.0,43.47,147.0,14.8,9.25,94.0,94.81992254,4538891.6015
united kingdom,40572.1214823783,83.143,4.33,2.55775577557747,8.8,3.8,100.0,1814.0,779.0,0.0,2234.0,0.0,2131.0,31.94,120.0,13.77,6.74,359.0,90.42455049,33062793.2305
united states,60322.2614241747,82.058,4.355,2.1301100036598,9.7,5.6,100.0,21914.0,123.0,80.0,18266.0,0.0,18100.0,55.68,219.0,19.93,14.83,3692.0,87.27488917,162723606.378
uruguay,18995.3970195554,95.24,7.89,6.2180938256186,60.8,6.8,99.8,33.0,3.0,0.0,33.0,0.0,31.0,9.12,33.0,2.97,2.23,3.0,70.3223544,1712818.3205
vietnam,2992.07153198845,35.213,1.874,3.52025688811617,28.3,17.2,100.0,918.0,291.0,2.0,1206.0,0.0,1166.0,12.33,48.0,4.01,3.4,1.0,58.14,47063824.324
zambia,1495.75213841021,42.976,8.518,6.57731154205644,83.5,44.0,40.3,49.0,12.0,0.0,60.0,0.0,58.0,3.42,11.0,1.15,0.72,1.0,12.2,8657453.7995
